realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,2007-01-01,19.96,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-02-01,20.12,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-03-01,19.81,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-04-01,20.39,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-05-01,20.23,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-06-01,20.67,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-07-01,20.74,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-08-01,20.96,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-09-01,21.15,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-10-01,20.55,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-11-01,20.66,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-12-01,20.63,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-01-01,20.11,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-02-01,20.02,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-03-01,20.24,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-04-01,20.26,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-05-01,20.32,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-06-01,20.34,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-07-01,20.27,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-08-01,20.32,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-09-01,20.41,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-10-01,20.36,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-11-01,20.31,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-12-01,20.34,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-01-01,20.33,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-02-01,20.47,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-03-01,20.48,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-04-01,20.54,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-05-01,20.22,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-06-01,20.49,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-07-01,20.7,SMU01000005500000003,"Average Hourly Earnings of All Employees: Financial Activities in Alabama",Alabama,M,"$ per Hour",NSA
