realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,2007-01-01,31.79,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-02-01,27.38,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-03-01,28.75,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-04-01,28.52,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-05-01,32.45,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-06-01,29.26,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-07-01,27.96,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-08-01,27.8,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-09-01,29.9,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-10-01,30.76,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-11-01,31.18,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-12-01,31.75,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-01-01,30.43,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-02-01,26.87,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-03-01,28.73,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-04-01,31.86,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-05-01,33.65,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-06-01,31.68,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-07-01,28.8,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-08-01,29.56,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-09-01,31.37,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-10-01,30.05,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-11-01,29.43,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-12-01,30.12,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-01-01,29.6,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-02-01,27.63,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-03-01,25.7,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-04-01,30.21,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-05-01,31.0,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-06-01,29.19,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-07-01,27.63,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-08-01,27.04,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2009-09-01,30.73,SMU02000000600000003,"Average Hourly Earnings of All Employees: Goods Producing in Alaska",Alaska,M,"$ per Hour",NSA
