realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,2007-01-01,13.58,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-02-01,13.89,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-03-01,13.68,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-04-01,13.64,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-05-01,12.99,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-06-01,12.98,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-07-01,13.16,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-08-01,13.28,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-09-01,13.48,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-10-01,13.76,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-11-01,13.55,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2007-12-01,13.77,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-01-01,13.43,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-02-01,13.5,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-03-01,13.64,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-04-01,13.36,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-05-01,13.5,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-06-01,13.41,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
2023-01-20,2023-01-20,2008-07-01,13.51,SMU02000007000000003,"Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska",Alaska,M,"$ per Hour",NSA
