realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,1984-01-01,80587.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1985-01-01,83754.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1986-01-01,74205.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1987-01-01,76032.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1988-01-01,73094.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1989-01-01,76174.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1990-01-01,79231.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1991-01-01,79006.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1992-01-01,79348.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1993-01-01,79487.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1994-01-01,82279.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1995-01-01,84925.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1996-01-01,91045.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1997-01-01,81039.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1998-01-01,84451.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1999-01-01,83839.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2000-01-01,83377.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2001-01-01,87996.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2002-01-01,79700.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2003-01-01,76547.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2004-01-01,79172.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2005-01-01,77729.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2006-01-01,75999.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2007-01-01,82515.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2008-01-01,80720.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2009-01-01,77982.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2010-01-01,72039.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2011-01-01,69334.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2012-01-01,75246.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2013-01-01,84427.0,MEHOINUSAKA672N,"Real Median Household Income in Alaska",Alaska,A,"2021 CPI-U-RS Adjusted $",NSA
