realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,1989-01-01,10.6,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1990-01-01,,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1991-01-01,,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1992-01-01,,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1993-01-01,11.2,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1994-01-01,,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1995-01-01,10.1,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1996-01-01,10.6,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1997-01-01,11.2,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1998-01-01,10.8,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1999-01-01,8.8,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2000-01-01,8.5,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2001-01-01,8.7,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2002-01-01,9.3,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2003-01-01,9.8,PPAAAK02000A156NCEN,"Estimated Percent of People of All Ages in Poverty for Alaska",Alaska,A,"%",NSA
