realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,1989-01-01,458826.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1990-01-01,472948.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1991-01-01,492111.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1992-01-01,496590.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1993-01-01,501970.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1994-01-01,501036.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1995-01-01,504710.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1996-01-01,505831.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1997-01-01,511026.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1998-01-01,520747.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1999-01-01,545344.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2000-01-01,550388.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2001-01-01,560509.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2002-01-01,568494.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2003-01-01,576697.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2004-01-01,582604.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2005-01-01,587613.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2006-01-01,592740.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2007-01-01,628007.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2008-01-01,613827.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2009-01-01,626606.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2010-01-01,645097.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2011-01-01,644553.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2012-01-01,642988.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2013-01-01,636994.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2014-01-01,632211.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2015-01-01,633840.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2016-01-01,626266.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2017-01-01,621422.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2018-01-01,616870.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2019-01-01,627948.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,2020-01-01,615927.0,TOTEXMAK2A647NCEN,"Total Tax Exemptions for Alaska",Alaska,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1989-01-01,3367441.0,TOTEXMAL1A647NCEN,"Total Tax Exemptions for Alabama",Alabama,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1990-01-01,3427361.0,TOTEXMAL1A647NCEN,"Total Tax Exemptions for Alabama",Alabama,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1991-01-01,3471467.0,TOTEXMAL1A647NCEN,"Total Tax Exemptions for Alabama",Alabama,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1992-01-01,3494455.0,TOTEXMAL1A647NCEN,"Total Tax Exemptions for Alabama",Alabama,A,"Number of Exemptions",NSA
2023-01-20,2023-01-20,1993-01-01,3518338.0,TOTEXMAL1A647NCEN,"Total Tax Exemptions for Alabama",Alabama,A,"Number of Exemptions",NSA
