realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,1976-01-01,7.6,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1977-01-01,9.8,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1978-01-01,10.7,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1979-01-01,9.1,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1980-01-01,9.5,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1981-01-01,9.2,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1982-01-01,10.0,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1983-01-01,10.1,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1984-01-01,9.9,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1985-01-01,9.9,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1986-01-01,11.1,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1987-01-01,10.2,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1988-01-01,8.7,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1989-01-01,7.1,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1990-01-01,7.3,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1991-01-01,8.3,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1992-01-01,8.9,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1993-01-01,7.8,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1994-01-01,7.6,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1995-01-01,7.3,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1996-01-01,7.4,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1997-01-01,6.9,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1998-01-01,6.3,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,1999-01-01,6.4,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2000-01-01,6.3,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2001-01-01,6.3,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2002-01-01,7.2,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2003-01-01,7.7,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2004-01-01,7.4,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2005-01-01,6.9,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2006-01-01,6.6,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2007-01-01,6.3,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2008-01-01,6.5,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2009-01-01,8.0,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2010-01-01,8.2,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2011-01-01,7.8,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2012-01-01,7.2,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2013-01-01,7.0,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2014-01-01,6.7,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
2023-01-20,2023-01-20,2015-01-01,6.3,LAUST020000000000003A,"Unemployment Rate in Alaska",Alaska,A,"%",NSA
