realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,1976-01-01,9.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1976-02-01,9.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1976-03-01,8.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1976-04-01,7.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1976-05-01,6.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1976-06-01,7.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1976-07-01,5.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1976-08-01,5.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1976-09-01,6.6,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1976-10-01,6.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1976-11-01,9.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1976-12-01,9.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1977-01-01,10.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1977-02-01,11.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1977-03-01,11.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1977-04-01,10.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1977-05-01,9.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1977-06-01,10.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1977-07-01,8.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1977-08-01,7.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1977-09-01,8.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1977-10-01,9.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1977-11-01,10.6,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1977-12-01,10.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1978-01-01,12.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1978-02-01,13.0,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1978-03-01,13.0,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1978-04-01,11.6,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1978-05-01,10.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1978-06-01,10.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1978-07-01,9.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1978-08-01,8.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1978-09-01,9.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1978-10-01,9.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1978-11-01,10.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1978-12-01,10.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1979-01-01,10.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1979-02-01,11.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1979-03-01,10.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1979-04-01,9.6,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1979-05-01,9.0,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1979-06-01,8.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1979-07-01,7.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1979-08-01,6.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1979-09-01,7.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1979-10-01,8.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1979-11-01,9.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1979-12-01,9.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1980-01-01,9.6,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1980-02-01,10.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1980-03-01,10.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1980-04-01,10.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1980-05-01,9.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1980-06-01,10.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1980-07-01,8.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1980-08-01,8.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1980-09-01,8.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1980-10-01,9.0,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1980-11-01,9.6,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1980-12-01,9.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1981-01-01,10.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1981-02-01,10.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1981-03-01,10.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1981-04-01,8.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1981-05-01,8.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1981-06-01,9.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1981-07-01,7.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1981-08-01,7.6,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1981-09-01,8.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1981-10-01,8.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1981-11-01,9.6,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1981-12-01,10.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1982-01-01,11.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1982-02-01,11.6,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1982-03-01,11.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1982-04-01,10.6,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1982-05-01,9.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1982-06-01,10.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1982-07-01,8.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1982-08-01,8.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
