date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
2007-01-01,29.42,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
2007-02-01,30.07,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
2007-03-01,31.37,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
2007-04-01,29.5,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
2007-05-01,32.17,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
2007-06-01,31.45,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
2007-07-01,31.76,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
2007-08-01,31.76,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
2007-09-01,32.21,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
2007-10-01,32.33,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
2007-11-01,31.78,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
2007-12-01,30.41,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
2008-01-01,29.18,2023-01-21,2023-01-21,Alaska,SMU02000002000000003,Average Hourly Earnings of All Employees: Construction in Alaska,M,$ per Hour,NSA
