date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
2007-01-01,13.58,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2007-02-01,13.89,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2007-03-01,13.68,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2007-04-01,13.64,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2007-05-01,12.99,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2007-06-01,12.98,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2007-07-01,13.16,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2007-08-01,13.28,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2007-09-01,13.48,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2007-10-01,13.76,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2007-11-01,13.55,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2007-12-01,13.77,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2008-01-01,13.43,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2008-02-01,13.5,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2008-03-01,13.64,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2008-04-01,13.36,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2008-05-01,13.5,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2008-06-01,13.41,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2008-07-01,13.51,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2008-08-01,13.52,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2008-09-01,13.57,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2008-10-01,13.47,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2008-11-01,13.31,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2008-12-01,13.45,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2009-01-01,13.06,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2009-02-01,13.2,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2009-03-01,13.37,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2009-04-01,13.37,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2009-05-01,12.83,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2009-06-01,12.96,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2009-07-01,12.95,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2009-08-01,13.16,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2009-09-01,13.12,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2009-10-01,13.4,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2009-11-01,13.45,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2009-12-01,13.75,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-01-01,13.88,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-02-01,13.73,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-03-01,13.66,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-04-01,13.64,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
2010-05-01,13.61,2023-01-21,2023-01-21,Alaska,SMU02000007000000003,Average Hourly Earnings of All Employees: Leisure and Hospitality in Alaska,M,$ per Hour,NSA
