date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
2007-01-01,21.93,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2007-02-01,22.27,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2007-03-01,21.66,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2007-04-01,22.07,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2007-05-01,22.86,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2007-06-01,17.91,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2007-07-01,18.17,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2007-08-01,17.77,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2007-09-01,19.05,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2007-10-01,18.98,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2007-11-01,18.65,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2007-12-01,19.29,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2008-01-01,19.28,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2008-02-01,19.5,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2008-03-01,19.74,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2008-04-01,19.63,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2008-05-01,19.4,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2008-06-01,18.56,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2008-07-01,18.81,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2008-08-01,18.87,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2008-09-01,19.62,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
2008-10-01,19.98,2023-01-21,2023-01-21,Alaska,SMU02000004000000003,Average Hourly Earnings of All Employees: Trade_Transportation_and Utilities in Alaska,M,$ per Hour,NSA
