date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
1984-01-01,80587.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1985-01-01,83754.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1986-01-01,74205.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1987-01-01,76032.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1988-01-01,73094.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1989-01-01,76174.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1990-01-01,79231.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1991-01-01,79006.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1992-01-01,79348.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1993-01-01,79487.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1994-01-01,82279.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1995-01-01,84925.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1996-01-01,91045.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1997-01-01,81039.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1998-01-01,84451.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
