date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
1997-01-01,42211.3,2023-01-21,2023-01-21,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2012 $,NSA
1998-01-01,41095.9,2023-01-21,2023-01-21,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2012 $,NSA
1999-01-01,40590.5,2023-01-21,2023-01-21,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2012 $,NSA
2000-01-01,39406.6,2023-01-21,2023-01-21,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2012 $,NSA
2001-01-01,40958.7,2023-01-21,2023-01-21,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2012 $,NSA
2002-01-01,42979.0,2023-01-21,2023-01-21,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2012 $,NSA
2003-01-01,42355.3,2023-01-21,2023-01-21,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2012 $,NSA
2004-01-01,44055.0,2023-01-21,2023-01-21,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2012 $,NSA
2005-01-01,45657.1,2023-01-21,2023-01-21,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2012 $,NSA
2006-01-01,49190.2,2023-01-21,2023-01-21,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2012 $,NSA
2007-01-01,51721.0,2023-01-21,2023-01-21,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2012 $,NSA
2008-01-01,51252.1,2023-01-21,2023-01-21,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2012 $,NSA
