date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
1989-01-01,458826.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
1990-01-01,472948.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
1991-01-01,492111.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
1992-01-01,496590.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
1993-01-01,501970.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
1994-01-01,501036.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
1995-01-01,504710.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
1996-01-01,505831.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
1997-01-01,511026.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
1998-01-01,520747.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
1999-01-01,545344.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2000-01-01,550388.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2001-01-01,560509.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2002-01-01,568494.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2003-01-01,576697.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2004-01-01,582604.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2005-01-01,587613.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2006-01-01,592740.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2007-01-01,628007.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2008-01-01,613827.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2009-01-01,626606.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2010-01-01,645097.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2011-01-01,644553.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2012-01-01,642988.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2013-01-01,636994.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2014-01-01,632211.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2015-01-01,633840.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2016-01-01,626266.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2017-01-01,621422.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2018-01-01,616870.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2019-01-01,627948.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
2020-01-01,615927.0,2023-01-21,2023-01-21,Alaska,TOTEXMAK2A647NCEN,Total Tax Exemptions for Alaska,A,Number of Exemptions,NSA
1989-01-01,3367441.0,2023-01-21,2023-01-21,Alabama,TOTEXMAL1A647NCEN,Total Tax Exemptions for Alabama,A,Number of Exemptions,NSA
1990-01-01,3427361.0,2023-01-21,2023-01-21,Alabama,TOTEXMAL1A647NCEN,Total Tax Exemptions for Alabama,A,Number of Exemptions,NSA
1991-01-01,3471467.0,2023-01-21,2023-01-21,Alabama,TOTEXMAL1A647NCEN,Total Tax Exemptions for Alabama,A,Number of Exemptions,NSA
